date,days,rate
01/28/2019,2242,2.704754
01/28/2019,2333,2.7147
01/28/2019,2424,2.724844
01/28/2019,2515,2.735164
01/28/2019,2606,2.745642
01/28/2019,2697,2.755583
01/28/2019,2788,2.765367
01/28/2019,2879,2.775169
01/28/2019,2970,2.784987
01/28/2019,3061,2.794519
01/28/2019,3152,2.803793
01/28/2019,3243,2.812686
01/28/2019,3334,2.82233
01/28/2019,3432,2.832404
01/28/2019,3523,2.84167
01/28/2019,3614,2.850597
01/29/2019,7,2.446536
01/29/2019,22,2.501693
01/29/2019,50,2.626473
01/29/2019,78,2.65622
01/29/2019,106,2.670251
01/29/2019,141,2.682288
01/29/2019,169,2.691798
01/29/2019,232,2.702457
01/29/2019,323,2.713964
01/29/2019,414,2.723735
01/29/2019,505,2.716373
01/29/2019,596,2.703571
01/29/2019,687,2.687488
01/29/2019,778,2.675757
01/29/2019,869,2.661735
01/29/2019,960,2.649417
01/29/2019,1051,2.638795
01/29/2019,1142,2.632275
01/29/2019,1233,2.627461
01/29/2019,1331,2.624449
01/29/2019,1422,2.623676
01/29/2019,1506,2.62505
01/29/2019,1604,2.628234
01/29/2019,1695,2.63252
01/29/2019,1786,2.637908
01/29/2019,1877,2.644726
01/29/2019,1968,2.652311
01/29/2019,2059,2.660782
01/29/2019,2150,2.669815
01/29/2019,2241,2.679749
01/29/2019,2332,2.689694
01/29/2019,2423,2.699836
01/29/2019,2514,2.710155
01/29/2019,2605,2.720632
01/29/2019,2696,2.730571
01/29/2019,2787,2.740354
01/29/2019,2878,2.750155
01/29/2019,2969,2.759972
01/29/2019,3060,2.769504
01/29/2019,3151,2.778776
01/29/2019,3242,2.787669
01/29/2019,3333,2.797312
01/29/2019,3431,2.807385
01/29/2019,3522,2.816651
01/29/2019,3613,2.825577
01/30/2019,7,2.447779
01/30/2019,21,2.50734
01/30/2019,49,2.622767
01/30/2019,77,2.648729
01/30/2019,105,2.660845
01/30/2019,140,2.669
01/30/2019,168,2.675723
01/30/2019,231,2.682556
01/30/2019,322,2.689764
01/30/2019,413,2.696014
01/30/2019,504,2.68546
01/30/2019,595,2.668891
01/30/2019,686,2.650035
01/30/2019,777,2.636186
01/30/2019,868,2.621015
01/30/2019,959,2.608245
01/30/2019,1050,2.597689
01/30/2019,1141,2.591629
01/30/2019,1232,2.587209
01/30/2019,1330,2.584564
01/30/2019,1421,2.58441
01/30/2019,1505,2.58657
01/30/2019,1603,2.590569
01/30/2019,1694,2.595799
01/30/2019,1785,2.602036
01/30/2019,1876,2.609621
01/30/2019,1967,2.618135
01/30/2019,2058,2.627454
01/30/2019,2149,2.637263
01/30/2019,2240,2.647911
01/30/2019,2331,2.658709
01/30/2019,2422,2.669642
01/30/2019,2513,2.680693
01/30/2019,2604,2.691852
01/30/2019,2695,2.702427
01/30/2019,2786,2.712804
01/30/2019,2877,2.723162
01/30/2019,2968,2.733501
01/30/2019,3059,2.743524
01/30/2019,3150,2.753259
01/30/2019,3241,2.762589
01/30/2019,3332,2.772645
01/30/2019,3430,2.783139
01/30/2019,3521,2.792774
01/30/2019,3612,2.80205
01/31/2019,7,2.441561
01/31/2019,20,2.5064
01/31/2019,48,2.620354
01/31/2019,76,2.641952
01/31/2019,104,2.649198
01/31/2019,139,2.650159
01/31/2019,167,2.651599
01/31/2019,230,2.649865
01/31/2019,321,2.646376
01/31/2019,412,2.644429
01/31/2019,503,2.627696
01/31/2019,594,2.6076
01/31/2019,685,2.58682
01/31/2019,776,2.572095
01/31/2019,867,2.556759
01/31/2019,958,2.543857
01/31/2019,1049,2.533194
01/31/2019,1140,2.527049
01/31/2019,1231,2.522558
01/31/2019,1329,2.519851
01/31/2019,1420,2.519647
01/31/2019,1504,2.521767
01/31/2019,1602,2.52573
01/31/2019,1693,2.530658
01/31/2019,1784,2.536625
01/31/2019,1875,2.544212
01/31/2019,1966,2.552495
01/31/2019,2057,2.561382
01/31/2019,2148,2.570795
01/31/2019,2239,2.58108
01/31/2019,2330,2.591545
01/31/2019,2421,2.602169
01/31/2019,2512,2.612935
01/31/2019,2603,2.623828
01/31/2019,2694,2.634325
01/31/2019,2785,2.644629
01/31/2019,2876,2.654918
01/31/2019,2967,2.665194
01/31/2019,3058,2.675157
01/31/2019,3149,2.684835
